stars,text,publishedAtDate
1,"Baru kali ini , belom pesen udah dijutekin sama waiters cwek yang dikuncir , dia bilang “maximal 90menit untuk weekeend” tak paham . Berapa hari lalu jg padahal kita pesen makan dan minum bill jg lumayan malah diusir waiters tiba2 kasih bill . Ga jls waiters ceweknya",2025-07-25T14:30:36.507Z
5,,
1,pelayan ceweknya jutek mukanya ngajak ribut .....,2025-07-25T13:43:23.558Z
1,"Waitress nya tidak punya sopan santun! Disaat saya sudah melakukan pemesanan untuk shisha saja Waitress menawarkan makan dan minum namun saya tolak dengan sopan ""nanti aja mbak ordernya, kita baru selesai makan dari atas"" karena saya dan teman saya barusan makan dari luar. Lalu teman saya menyusul datang dan waitress menawarkan makan dan minuman kembali sambil menarih buku menu sambil di BANTING diatas meja! Disaat itu saya ingin memesan makanan dan minuman karena shishanya baru datang di meja. Karena ada perlakuan intimidasi dari waitress saya tidak jadi melakuan pemesanan karena sudah muak dengan perlakuan TIDAK SOPAN dari waitress yang rambut panjang yang di kucir! Tidak ada 30 menit dari shisha datang saya dan teman teman saya memutuskan meninggalkan tempat tersebut! Padahal kita sudah spending untuk shisha 400 ribu lebih namun diberikan pelayanan yang buruk! Dan disaat saya ke toilet waitress tersebut memberikan tatapan yang menyepelekan kepada tamunya! Ini sangat sangat tidak sopan! Tolong tim management melakukan training kembali kepada waitress nya agar lebih SOPAN kepada tamu!",2025-04-24T19:19:44.659Z
1,,2025-10-12T05:43:05.471Z
5,,
5,,
1,"Bagaimana koordinasi dengan pihak security-nya apartment...kita mau makan untuk masuk aja dipersulit...pake nanya temen nya siapa.... udah jelas kita mau ke resto nya,,,,hhhaaaahhhh....gimana ini",2024-02-07T06:47:00.262Z
5,,
1,"Rasanya sudah berubah….kurang enak…
 Sangat kecewa….",2023-12-10T13:59:03.284Z
1,Susah menuju restoran..jika berkendara Dengan motor,2023-07-04T09:07:42.319Z
1,,
5,,
1,,2022-10-06T16:13:19.414Z
5,,
